ip,app,device,os,channel,click_time,attributed_time,is_attributed
70335,3,1,8,130,07/11/2017,04:21:42,0
357443,15,1,13,265,09/11/2017,02:02:34,0
37515,13,1,37,477,06/11/2017,22:55:26,0
3219,9,1,19,215,07/11/2017,04:00:26,0
61800,15,1,9,130,09/11/2017,03:19:46,0
99162,22,1,19,116,09/11/2017,10:29:33,0
53480,9,1,25,442,07/11/2017,15:35:49,0
50011,12,1,48,424,09/11/2017,03:33:11,0
110505,2,1,25,237,09/11/2017,12:03:56,0
105560,2,2,19,477,06/11/2017,17:47:19,0
8718,14,1,20,446,07/11/2017,14:14:09,0
6553,3,1,13,280,09/11/2017,01:11:42,0
81514,18,1,18,107,07/11/2017,12:33:28,0
25321,2,1,37,435,08/11/2017,20:12:02,0
69995,23,1,13,153,09/11/2017,13:37:33,0
173128,3,1,19,280,07/11/2017,00:41:57,0
132031,8,1,19,145,08/11/2017,21:52:59,0
85154,12,1,19,265,09/11/2017,09:50:22,0
119591,26,1,20,266,08/11/2017,04:43:21,0
73395,12,1,13,265,07/11/2017,09:49:50,0
163333,10,1,27,113,07/11/2017,08:07:35,07/11/2017
203862,23,1,15,153,09/11/2017,03:22:16,0
47674,6,1,20,125,07/11/2017,23:59:15,0
32265,12,1,41,178,08/11/2017,08:14:58,0
213469,15,1,19,140,09/11/2017,01:50:25,0
102728,28,1,13,135,07/11/2017,13:24:12,0
12649,3,1,18,424,07/11/2017,11:45:57,0
82050,12,1,13,328,07/11/2017,07:28:54,0
74687,8,1,13,145,06/11/2017,22:41:21,0
75270,3,1,13,424,09/11/2017,11:11:04,0
40929,2,1,14,469,09/11/2017,01:31:58,0
146398,15,1,22,245,08/11/2017,11:28:16,0
48282,14,1,19,442,08/11/2017,11:24:03,0
268081,20,1,17,259,08/11/2017,10:36:46,0
20465,2,2,13,205,08/11/2017,04:24:58,0
42242,23,1,19,153,09/11/2017,02:39:59,0
62954,18,1,15,121,08/11/2017,18:31:06,0
72279,11,1,19,325,08/11/2017,11:04:47,0
92719,2,1,19,364,08/11/2017,07:31:43,0
256729,15,1,19,245,07/11/2017,17:45:57,0
310334,2,1,53,477,08/11/2017,20:34:26,0
83140,9,1,3,466,07/11/2017,05:39:24,0
128245,15,1,15,245,06/11/2017,19:20:45,0
76718,9,1,13,442,06/11/2017,16:30:37,0
41142,15,1,19,3,08/11/2017,12:26:06,0
154699,2,1,48,477,09/11/2017,06:22:42,0
282065,12,1,8,178,08/11/2017,08:42:32,0
72321,3,1,18,409,07/11/2017,03:54:36,0
111219,2,1,40,237,08/11/2017,07:01:29,0
125151,2,1,19,477,08/11/2017,03:39:49,0
43279,9,1,19,145,08/11/2017,11:36:02,0
31184,22,1,47,116,06/11/2017,22:03:02,0
78506,3,1,37,173,07/11/2017,12:39:39,0
189957,15,1,10,386,07/11/2017,02:22:03,0
23057,28,1,6,135,07/11/2017,01:13:57,0
100654,9,1,19,215,09/11/2017,10:29:10,0
11272,3,1,12,280,09/11/2017,03:35:49,0
80438,3,1,13,280,08/11/2017,05:38:03,0
66450,18,1,19,134,09/11/2017,02:21:31,0
128696,13,1,8,477,06/11/2017,23:13:42,0
49651,1,1,8,115,09/11/2017,13:21:08,0
8259,12,1,20,265,07/11/2017,04:09:47,0
19454,14,1,13,463,06/11/2017,23:17:23,0
48282,15,1,37,278,08/11/2017,11:48:13,0
85541,12,1,15,328,08/11/2017,13:56:22,0
75535,3,1,18,115,07/11/2017,11:46:38,0
66152,2,1,19,212,07/11/2017,12:13:36,0
97890,15,1,6,130,09/11/2017,12:41:11,0
115941,15,1,6,315,07/11/2017,05:42:06,0
13634,12,1,19,265,07/11/2017,14:22:46,0
29993,15,1,18,245,07/11/2017,02:26:15,0
72235,28,1,13,135,07/11/2017,01:24:29,0
74748,14,1,37,463,08/11/2017,01:25:50,0
85329,2,1,13,205,07/11/2017,05:23:07,0
5348,19,40,24,213,09/11/2017,10:47:39,09/11/2017
109643,12,1,18,497,09/11/2017,13:11:20,0
38711,3,1,9,489,09/11/2017,14:40:36,0
145637,3,1,6,280,07/11/2017,01:40:11,0
165747,25,1,17,259,08/11/2017,03:51:20,0
144054,3,1,27,280,08/11/2017,10:35:33,0
109644,9,1,37,442,08/11/2017,08:24:36,0
64479,18,1,19,134,07/11/2017,13:18:44,0
13936,12,1,19,265,08/11/2017,01:20:05,0
111159,13,1,28,477,07/11/2017,23:31:14,0
211198,3,1,9,280,09/11/2017,02:26:41,0
44175,3,1,37,280,07/11/2017,11:42:14,0
34206,6,1,14,459,07/11/2017,04:59:57,0
5348,14,1,14,379,09/11/2017,04:11:34,0
312669,22,1,19,116,09/11/2017,06:52:29,0
85900,12,1,13,182,09/11/2017,15:05:14,0
103248,21,1,13,232,08/11/2017,14:30:31,0
89363,2,1,19,477,09/11/2017,07:50:23,0
62042,13,1,58,477,07/11/2017,08:12:57,0
117324,9,1,19,466,09/11/2017,03:07:21,0
39454,15,1,17,245,07/11/2017,05:50:42,0
274107,13,1,19,477,08/11/2017,11:07:17,0
43827,2,1,18,243,08/11/2017,15:06:22,0
197349,15,1,19,315,08/11/2017,02:51:25,0
36150,9,1,19,215,07/11/2017,14:45:59,0
135164,2,1,13,219,08/11/2017,08:15:51,0
20112,21,1,19,128,08/11/2017,00:46:05,0
123977,1,1,31,134,07/11/2017,01:33:10,0
32788,13,1,28,400,07/11/2017,09:44:18,0
55641,12,1,13,140,08/11/2017,23:27:57,0
29151,3,1,9,409,08/11/2017,04:43:55,0
91066,9,1,13,334,08/11/2017,06:39:57,0
